Customer ID,Name,Contact Person,Phone,Email,Address,Industry Type,Purchase History
CUST3555,Customer 1,Contact 1,+1-555-0211,customer1@example.com,Address 1,Food,History 1
CUST6206,Customer 2,Contact 2,+1-555-0222,customer2@example.com,Address 2,Supplement,History 3
CUST8732,Customer 3,Contact 3,+1-555-0233,customer3@example.com,Address 3,Food,History 10
CUST3905,Customer 4,Contact 4,+1-555-0244,customer4@example.com,Address 4,Pharma,History 2
CUST5676,Customer 5,Contact 5,+1-555-0255,customer5@example.com,Address 5,Supplement,History 3
CUST4338,Customer 6,Contact 6,+1-555-0266,customer6@example.com,Address 6,Supplement,History 3
CUST8601,Customer 7,Contact 7,+1-555-0277,customer7@example.com,Address 7,Supplement,History 2
CUST4766,Customer 8,Contact 8,+1-555-0288,customer8@example.com,Address 8,Supplement,History 8
CUST4241,Customer 9,Contact 9,+1-555-0299,customer9@example.com,Address 9,Pharma,History 5
CUST3942,Customer 10,Contact 10,+1-555-02010,customer10@example.com,Address 10,Pharma,History 3
CUST6199,Customer 11,Contact 11,+1-555-02111,customer11@example.com,Address 11,Pharma,History 3
CUST9968,Customer 12,Contact 12,+1-555-02212,customer12@example.com,Address 12,Supplement,History 3
CUST4544,Customer 13,Contact 13,+1-555-02313,customer13@example.com,Address 13,Supplement,History 8
CUST2503,Customer 14,Contact 14,+1-555-02414,customer14@example.com,Address 14,Pharma,History 4
CUST4307,Customer 15,Contact 15,+1-555-02515,customer15@example.com,Address 15,Food,History 10
CUST6526,Customer 16,Contact 16,+1-555-02616,customer16@example.com,Address 16,Pharma,History 2
CUST9325,Customer 17,Contact 17,+1-555-02717,customer17@example.com,Address 17,Food,History 9
CUST9477,Customer 18,Contact 18,+1-555-02818,customer18@example.com,Address 18,Supplement,History 3
CUST5756,Customer 19,Contact 19,+1-555-02919,customer19@example.com,Address 19,Supplement,History 3
CUST6748,Customer 20,Contact 20,+1-555-02020,customer20@example.com,Address 20,Food,History 6
CUST3364,Customer 21,Contact 21,+1-555-02121,customer21@example.com,Address 21,Food,History 8
CUST5131,Customer 22,Contact 22,+1-555-02222,customer22@example.com,Address 22,Food,History 1
CUST4958,Customer 23,Contact 23,+1-555-02323,customer23@example.com,Address 23,Pharma,History 4
CUST3527,Customer 24,Contact 24,+1-555-02424,customer24@example.com,Address 24,Pharma,History 3
CUST5871,Customer 25,Contact 25,+1-555-02525,customer25@example.com,Address 25,Pharma,History 10
CUST1642,Customer 26,Contact 26,+1-555-02626,customer26@example.com,Address 26,Supplement,History 5
CUST7577,Customer 27,Contact 27,+1-555-02727,customer27@example.com,Address 27,Pharma,History 6
CUST5203,Customer 28,Contact 28,+1-555-02828,customer28@example.com,Address 28,Food,History 3
CUST5725,Customer 29,Contact 29,+1-555-02929,customer29@example.com,Address 29,Food,History 5
CUST7194,Customer 30,Contact 30,+1-555-02030,customer30@example.com,Address 30,Supplement,History 5
CUST4834,Customer 31,Contact 31,+1-555-02131,customer31@example.com,Address 31,Supplement,History 2
CUST1292,Customer 32,Contact 32,+1-555-02232,customer32@example.com,Address 32,Supplement,History 4
CUST4339,Customer 33,Contact 33,+1-555-02333,customer33@example.com,Address 33,Pharma,History 4
CUST5900,Customer 34,Contact 34,+1-555-02434,customer34@example.com,Address 34,Pharma,History 2
CUST8092,Customer 35,Contact 35,+1-555-02535,customer35@example.com,Address 35,Supplement,History 4
CUST9517,Customer 36,Contact 36,+1-555-02636,customer36@example.com,Address 36,Supplement,History 2
CUST8357,Customer 37,Contact 37,+1-555-02737,customer37@example.com,Address 37,Food,History 5
CUST3648,Customer 38,Contact 38,+1-555-02838,customer38@example.com,Address 38,Supplement,History 10
CUST7934,Customer 39,Contact 39,+1-555-02939,customer39@example.com,Address 39,Pharma,History 3
CUST1161,Customer 40,Contact 40,+1-555-02040,customer40@example.com,Address 40,Pharma,History 1
CUST7418,Customer 41,Contact 41,+1-555-02141,customer41@example.com,Address 41,Food,History 10
CUST6690,Customer 42,Contact 42,+1-555-02242,customer42@example.com,Address 42,Pharma,History 2
CUST7025,Customer 43,Contact 43,+1-555-02343,customer43@example.com,Address 43,Food,History 3
CUST5851,Customer 44,Contact 44,+1-555-02444,customer44@example.com,Address 44,Pharma,History 4
CUST3813,Customer 45,Contact 45,+1-555-02545,customer45@example.com,Address 45,Food,History 5
CUST3780,Customer 46,Contact 46,+1-555-02646,customer46@example.com,Address 46,Food,History 3
CUST7521,Customer 47,Contact 47,+1-555-02747,customer47@example.com,Address 47,Food,History 10
CUST7251,Customer 48,Contact 48,+1-555-02848,customer48@example.com,Address 48,Pharma,History 10
CUST6914,Customer 49,Contact 49,+1-555-02949,customer49@example.com,Address 49,Pharma,History 10
CUST1038,Customer 50,Contact 50,+1-555-02050,customer50@example.com,Address 50,Supplement,History 3
CUST9657,Customer 51,Contact 51,+1-555-02151,customer51@example.com,Address 51,Food,History 1
CUST8638,Customer 52,Contact 52,+1-555-02252,customer52@example.com,Address 52,Supplement,History 3
CUST8399,Customer 53,Contact 53,+1-555-02353,customer53@example.com,Address 53,Supplement,History 8
CUST7746,Customer 54,Contact 54,+1-555-02454,customer54@example.com,Address 54,Supplement,History 2
CUST4931,Customer 55,Contact 55,+1-555-02555,customer55@example.com,Address 55,Supplement,History 10
CUST5336,Customer 56,Contact 56,+1-555-02656,customer56@example.com,Address 56,Supplement,History 2
CUST7170,Customer 57,Contact 57,+1-555-02757,customer57@example.com,Address 57,Food,History 4
CUST7843,Customer 58,Contact 58,+1-555-02858,customer58@example.com,Address 58,Pharma,History 3
CUST2013,Customer 59,Contact 59,+1-555-02959,customer59@example.com,Address 59,Pharma,History 5
CUST2090,Customer 60,Contact 60,+1-555-02060,customer60@example.com,Address 60,Food,History 10
CUST7571,Customer 61,Contact 61,+1-555-02161,customer61@example.com,Address 61,Pharma,History 10
CUST7290,Customer 62,Contact 62,+1-555-02262,customer62@example.com,Address 62,Pharma,History 1
CUST3461,Customer 63,Contact 63,+1-555-02363,customer63@example.com,Address 63,Supplement,History 3
CUST4423,Customer 64,Contact 64,+1-555-02464,customer64@example.com,Address 64,Pharma,History 3
CUST4469,Customer 65,Contact 65,+1-555-02565,customer65@example.com,Address 65,Food,History 9
CUST3857,Customer 66,Contact 66,+1-555-02666,customer66@example.com,Address 66,Supplement,History 3
CUST5180,Customer 67,Contact 67,+1-555-02767,customer67@example.com,Address 67,Food,History 6
CUST9936,Customer 68,Contact 68,+1-555-02868,customer68@example.com,Address 68,Supplement,History 1
CUST2093,Customer 69,Contact 69,+1-555-02969,customer69@example.com,Address 69,Supplement,History 5
CUST4731,Customer 70,Contact 70,+1-555-02070,customer70@example.com,Address 70,Supplement,History 1
CUST1694,Customer 71,Contact 71,+1-555-02171,customer71@example.com,Address 71,Food,History 2
CUST1777,Customer 72,Contact 72,+1-555-02272,customer72@example.com,Address 72,Pharma,History 5
CUST8613,Customer 73,Contact 73,+1-555-02373,customer73@example.com,Address 73,Pharma,History 7
CUST5154,Customer 74,Contact 74,+1-555-02474,customer74@example.com,Address 74,Supplement,History 9
CUST8292,Customer 75,Contact 75,+1-555-02575,customer75@example.com,Address 75,Food,History 3
CUST7848,Customer 76,Contact 76,+1-555-02676,customer76@example.com,Address 76,Supplement,History 3
CUST9432,Customer 77,Contact 77,+1-555-02777,customer77@example.com,Address 77,Pharma,History 5
CUST9302,Customer 78,Contact 78,+1-555-02878,customer78@example.com,Address 78,Food,History 1
CUST7525,Customer 79,Contact 79,+1-555-02979,customer79@example.com,Address 79,Food,History 4
CUST5592,Customer 80,Contact 80,+1-555-02080,customer80@example.com,Address 80,Pharma,History 2
CUST7696,Customer 81,Contact 81,+1-555-02181,customer81@example.com,Address 81,Food,History 6
CUST9995,Customer 82,Contact 82,+1-555-02282,customer82@example.com,Address 82,Pharma,History 2
CUST2053,Customer 83,Contact 83,+1-555-02383,customer83@example.com,Address 83,Food,History 10
CUST2637,Customer 84,Contact 84,+1-555-02484,customer84@example.com,Address 84,Supplement,History 6
CUST6084,Customer 85,Contact 85,+1-555-02585,customer85@example.com,Address 85,Food,History 5
CUST3926,Customer 86,Contact 86,+1-555-02686,customer86@example.com,Address 86,Supplement,History 9
CUST9829,Customer 87,Contact 87,+1-555-02787,customer87@example.com,Address 87,Food,History 4
CUST2809,Customer 88,Contact 88,+1-555-02888,customer88@example.com,Address 88,Pharma,History 1
CUST3196,Customer 89,Contact 89,+1-555-02989,customer89@example.com,Address 89,Pharma,History 1
CUST2047,Customer 90,Contact 90,+1-555-02090,customer90@example.com,Address 90,Food,History 9
CUST9136,Customer 91,Contact 91,+1-555-02191,customer91@example.com,Address 91,Supplement,History 2
CUST1263,Customer 92,Contact 92,+1-555-02292,customer92@example.com,Address 92,Supplement,History 3
CUST9113,Customer 93,Contact 93,+1-555-02393,customer93@example.com,Address 93,Food,History 8
CUST6920,Customer 94,Contact 94,+1-555-02494,customer94@example.com,Address 94,Supplement,History 7
CUST8379,Customer 95,Contact 95,+1-555-02595,customer95@example.com,Address 95,Pharma,History 9
CUST3777,Customer 96,Contact 96,+1-555-02696,customer96@example.com,Address 96,Pharma,History 10
CUST8140,Customer 97,Contact 97,+1-555-02797,customer97@example.com,Address 97,Food,History 1
CUST3155,Customer 98,Contact 98,+1-555-02898,customer98@example.com,Address 98,Pharma,History 10
CUST3696,Customer 99,Contact 99,+1-555-02999,customer99@example.com,Address 99,Supplement,History 2
CUST8681,Customer 100,Contact 100,+1-555-020100,customer100@example.com,Address 100,Pharma,History 10
CUST2679,Customer 101,Contact 101,+1-555-021101,customer101@example.com,Address 101,Supplement,History 1
CUST9769,Customer 102,Contact 102,+1-555-022102,customer102@example.com,Address 102,Pharma,History 2
CUST1555,Customer 103,Contact 103,+1-555-023103,customer103@example.com,Address 103,Food,History 7
CUST1716,Customer 104,Contact 104,+1-555-024104,customer104@example.com,Address 104,Pharma,History 5
CUST2750,Customer 105,Contact 105,+1-555-025105,customer105@example.com,Address 105,Food,History 7
CUST4868,Customer 106,Contact 106,+1-555-026106,customer106@example.com,Address 106,Pharma,History 9
CUST8734,Customer 107,Contact 107,+1-555-027107,customer107@example.com,Address 107,Pharma,History 6
CUST3775,Customer 108,Contact 108,+1-555-028108,customer108@example.com,Address 108,Food,History 7
CUST4202,Customer 109,Contact 109,+1-555-029109,customer109@example.com,Address 109,Food,History 6
