Purchase ID,Supplier ID,Order Date,Total Cost,Status,Payment Terms,Delivery Time (days)
PO35642,SUP7965,2011-07-27,64965.04,Cancelled,Net 60,17
PO14590,SUP2842,2018-02-26,35987.04,Received,Net 60,22
PO36827,SUP9768,2002-05-22,27574.04,Cancelled,Net 30,11
PO67157,SUP9747,2022-03-28,52644.55,Received,Prepaid,17
PO46887,SUP7201,2023-03-19,49369.03,Received,Prepaid,8
PO17668,SUP8463,2001-11-18,6144.67,Received,Net 60,18
PO39126,SUP5961,2022-10-23,11543.02,Received,Prepaid,9
PO10826,SUP6523,2019-05-18,15643.35,Cancelled,Prepaid,25
PO79927,SUP7201,2007-01-10,49846.52,Cancelled,Net 60,11
PO97988,SUP4738,2013-09-13,77765.31,Cancelled,Net 60,5
PO42085,SUP7965,2015-12-08,70132.14,Received,Prepaid,22
PO61953,SUP8191,2023-07-28,50048.54,Cancelled,Net 30,9
PO64828,SUP3112,2001-10-24,73201.76,Received,Net 30,15
PO60069,SUP7287,2012-02-05,87624.35,Pending,Net 30,30
PO93386,SUP6898,2011-09-08,40202.14,Cancelled,Net 30,10
PO81554,SUP7965,2019-10-19,72684.39,Cancelled,Net 60,24
PO19803,SUP8191,2012-07-20,61750.71,Pending,Net 30,16
PO11591,SUP7965,2018-07-17,94694.49,Received,Prepaid,26
PO45664,SUP7849,2012-07-08,29039.47,Cancelled,Net 60,24
PO70489,SUP3110,2019-09-22,88501.35,Pending,Net 60,27
PO37360,SUP7965,2013-02-07,35963.24,Pending,Prepaid,11
PO54157,SUP9747,2016-12-13,67774.04,Received,Net 60,24
PO62234,SUP1888,2021-10-20,41214.41,Received,Prepaid,26
PO40523,SUP7098,2021-10-15,41929.81,Cancelled,Net 60,19
PO15000,SUP6523,2013-03-11,14851.28,Received,Prepaid,7
PO71494,SUP1445,2013-12-10,41708.52,Cancelled,Prepaid,7
PO24890,SUP2275,2016-01-20,64209.1,Received,Prepaid,22
PO31423,SUP4887,2008-12-21,13688.04,Pending,Net 60,9
PO40641,SUP4001,2020-05-20,55188.5,Pending,Prepaid,25
PO26977,SUP2144,2000-05-05,81237.45,Pending,Net 30,18
PO51159,SUP6508,2025-01-24,43196.12,Received,Net 60,27
PO65544,SUP7287,2014-06-07,27077.18,Cancelled,Prepaid,27
PO51123,SUP7450,2023-05-07,74854.04,Cancelled,Net 30,8
PO50911,SUP7450,2010-05-12,3254.74,Received,Net 60,28
PO51464,SUP7098,2012-07-13,76015.92,Received,Prepaid,5
PO52553,SUP4515,2017-03-06,88604.65,Cancelled,Net 30,24
PO44553,SUP2122,2016-02-06,99521.22,Cancelled,Net 60,18
PO27380,SUP2842,2024-01-04,25327.05,Cancelled,Net 60,30
PO61174,SUP2275,2013-04-23,88135.97,Pending,Prepaid,21
PO37413,SUP4887,2001-12-08,19262.66,Cancelled,Net 60,25
PO54513,SUP4297,2024-07-03,12886.23,Pending,Prepaid,12
PO44205,SUP3704,2015-02-13,97726.7,Cancelled,Prepaid,5
PO16552,SUP2842,2003-05-24,28375.24,Received,Net 30,23
PO74072,SUP8463,2014-02-05,96438.4,Pending,Net 30,13
PO62393,SUP8191,2019-01-10,23917.69,Pending,Net 30,14
PO24408,SUP7450,2007-08-06,31543.22,Pending,Prepaid,20
PO67480,SUP5370,2011-06-27,12229.52,Pending,Net 30,21
PO14551,SUP6593,2017-06-11,77449.96,Received,Net 30,26
PO18868,SUP9506,2020-05-23,55989.04,Cancelled,Net 60,13
PO41733,SUP4281,2024-04-15,75951.94,Pending,Prepaid,30
PO76010,SUP7450,2003-07-21,49932.87,Cancelled,Prepaid,18
PO82442,SUP5822,2021-04-17,76429.47,Received,Net 30,19
PO50781,SUP6898,2002-09-17,78182.87,Received,Net 60,18
PO18077,SUP4738,2013-02-08,30242.49,Cancelled,Net 30,23
PO10315,SUP3704,2024-06-24,50672.23,Cancelled,Prepaid,16
PO22014,SUP9506,2007-03-24,68534.49,Pending,Net 60,14
PO46026,SUP1445,2006-03-26,91423.89,Received,Net 60,29
PO33927,SUP2122,2011-05-04,4581.06,Cancelled,Prepaid,18
PO91346,SUP7304,2013-10-13,568.76,Cancelled,Net 60,28
PO63983,SUP5193,2021-08-19,79166.58,Received,Net 60,6
PO34428,SUP7109,2024-03-13,2908.57,Cancelled,Net 30,23
PO11894,SUP5370,2012-07-18,17532.92,Cancelled,Net 30,27
PO55355,SUP8689,2013-06-18,19749.88,Pending,Net 60,5
PO24903,SUP4297,2011-02-18,36441.27,Received,Net 60,25
PO72738,SUP7304,2002-02-12,50247.42,Received,Prepaid,29
PO92086,SUP6523,2018-11-17,17141.5,Pending,Net 30,18
PO20234,SUP4515,2010-10-04,98569.28,Pending,Net 30,30
PO18307,SUP5961,2004-04-10,40236.66,Cancelled,Net 60,26
PO26480,SUP7109,2023-02-05,55714.53,Pending,Prepaid,20
PO69124,SUP5822,2023-06-03,91364.25,Received,Prepaid,18
PO64331,SUP6523,2014-01-04,82998.07,Pending,Prepaid,5
PO59198,SUP5370,2024-12-26,34553.44,Pending,Net 30,14
PO96469,SUP6523,2008-09-22,85290.07,Pending,Net 60,16
PO21240,SUP7786,2022-05-16,47840.09,Received,Net 60,9
PO72540,SUP7201,2014-11-13,99280.12,Pending,Prepaid,7
PO67206,SUP4297,2004-09-20,53195.36,Cancelled,Net 30,17
PO29756,SUP4297,2004-02-19,83411.94,Pending,Net 60,26
PO61497,SUP6523,2016-10-20,22597.64,Received,Prepaid,8
PO12440,SUP3112,2000-03-19,88512.63,Pending,Net 60,7
PO46902,SUP8463,2019-03-21,945.37,Pending,Prepaid,17
PO96942,SUP6660,2020-11-03,72623.08,Received,Net 60,27
PO41264,SUP6523,2003-01-03,15730.31,Cancelled,Prepaid,28
PO60216,SUP6660,2020-08-08,32587.35,Received,Prepaid,9
PO61568,SUP2317,2009-09-11,46816.21,Cancelled,Net 60,30
PO53459,SUP8721,2002-10-20,26459.68,Pending,Net 30,27
PO66212,SUP4297,2001-08-16,31552.22,Cancelled,Prepaid,6
PO30740,SUP4281,2017-04-16,63241.86,Pending,Prepaid,9
PO11572,SUP6508,2023-04-18,50278.16,Cancelled,Net 60,28
PO90002,SUP7965,2002-08-07,10528.74,Received,Net 30,30
PO36380,SUP3650,2014-02-03,31686.05,Pending,Net 60,7
PO94312,SUP7450,2025-10-14,67653.42,Received,Net 60,22
PO73912,SUP8191,2015-09-26,19448.39,Cancelled,Prepaid,27
PO29420,SUP7450,2003-01-04,10307.63,Received,Net 60,20
PO53628,SUP3492,2003-05-06,68676.47,Received,Net 60,25
PO66349,SUP8689,2023-11-18,64707.69,Cancelled,Net 60,19
PO27988,SUP8689,2018-09-14,20855.64,Cancelled,Net 30,5
PO10035,SUP7786,2010-11-20,17493.76,Pending,Net 30,11
PO41355,SUP7450,2002-10-09,8601.7,Received,Prepaid,8
PO72750,SUP7786,2020-04-04,83383.09,Pending,Net 60,25
PO82314,SUP7287,2005-10-12,91673.73,Cancelled,Prepaid,11
