Supplier ID,Name,Contact Person,Phone,Email,Country,Lead Time (days),Quality Rating,Pricing Trend
SUP9332,Supplier 1,Contact 1,+1-555-0111,supplier1@example.com,USA,21,3.48,Trend 4
SUP3112,Supplier 2,Contact 2,+1-555-0122,supplier2@example.com,China,28,3.25,Trend 5
SUP3650,Supplier 3,Contact 3,+1-555-0133,supplier3@example.com,China,18,4.07,Trend 3
SUP1445,Supplier 4,Contact 4,+1-555-0144,supplier4@example.com,China,14,3.63,Trend 3
SUP7965,Supplier 5,Contact 5,+1-555-0155,supplier5@example.com,India,21,4.53,Trend 2
SUP4281,Supplier 6,Contact 6,+1-555-0166,supplier6@example.com,USA,24,4.5,Trend 1
SUP7786,Supplier 7,Contact 7,+1-555-0177,supplier7@example.com,Germany,28,4.09,Trend 3
SUP6898,Supplier 8,Contact 8,+1-555-0188,supplier8@example.com,USA,13,3.5,Trend 3
SUP2789,Supplier 9,Contact 9,+1-555-0199,supplier9@example.com,USA,11,3.35,Trend 5
SUP7849,Supplier 10,Contact 10,+1-555-01010,supplier10@example.com,China,16,3.23,Trend 2
SUP6660,Supplier 11,Contact 11,+1-555-01111,supplier11@example.com,India,11,3.28,Trend 1
SUP5193,Supplier 12,Contact 12,+1-555-01212,supplier12@example.com,China,25,3.75,Trend 4
SUP7201,Supplier 13,Contact 13,+1-555-01313,supplier13@example.com,USA,11,4.44,Trend 2
SUP2122,Supplier 14,Contact 14,+1-555-01414,supplier14@example.com,USA,8,4.36,Trend 4
SUP4738,Supplier 15,Contact 15,+1-555-01515,supplier15@example.com,Germany,19,4.07,Trend 5
SUP2144,Supplier 16,Contact 16,+1-555-01616,supplier16@example.com,China,15,4.68,Trend 3
SUP6523,Supplier 17,Contact 17,+1-555-01717,supplier17@example.com,USA,15,4.07,Trend 1
SUP3492,Supplier 18,Contact 18,+1-555-01818,supplier18@example.com,India,6,3.79,Trend 1
SUP8721,Supplier 19,Contact 19,+1-555-01919,supplier19@example.com,Germany,17,4.57,Trend 4
SUP6593,Supplier 20,Contact 20,+1-555-01020,supplier20@example.com,China,6,4.48,Trend 3
SUP5370,Supplier 21,Contact 21,+1-555-01121,supplier21@example.com,China,7,4.81,Trend 2
SUP3704,Supplier 22,Contact 22,+1-555-01222,supplier22@example.com,China,17,4.97,Trend 5
SUP9506,Supplier 23,Contact 23,+1-555-01323,supplier23@example.com,Germany,6,3.49,Trend 4
SUP3110,Supplier 24,Contact 24,+1-555-01424,supplier24@example.com,India,8,3.85,Trend 5
SUP4297,Supplier 25,Contact 25,+1-555-01525,supplier25@example.com,Germany,13,3.42,Trend 4
SUP1888,Supplier 26,Contact 26,+1-555-01626,supplier26@example.com,India,13,3.58,Trend 1
SUP7109,Supplier 27,Contact 27,+1-555-01727,supplier27@example.com,USA,29,4.57,Trend 3
SUP8463,Supplier 28,Contact 28,+1-555-01828,supplier28@example.com,Germany,27,4.26,Trend 1
SUP7646,Supplier 29,Contact 29,+1-555-01929,supplier29@example.com,Germany,9,4.51,Trend 2
SUP9747,Supplier 30,Contact 30,+1-555-01030,supplier30@example.com,Germany,11,4.07,Trend 1
SUP4887,Supplier 31,Contact 31,+1-555-01131,supplier31@example.com,USA,18,3.67,Trend 5
SUP5804,Supplier 32,Contact 32,+1-555-01232,supplier32@example.com,India,26,4.92,Trend 2
SUP5822,Supplier 33,Contact 33,+1-555-01333,supplier33@example.com,Germany,26,4.38,Trend 1
SUP7450,Supplier 34,Contact 34,+1-555-01434,supplier34@example.com,India,6,3.53,Trend 4
SUP2317,Supplier 35,Contact 35,+1-555-01535,supplier35@example.com,India,10,3.69,Trend 5
SUP4001,Supplier 36,Contact 36,+1-555-01636,supplier36@example.com,India,26,3.55,Trend 4
SUP4515,Supplier 37,Contact 37,+1-555-01737,supplier37@example.com,India,16,3.41,Trend 3
SUP9768,Supplier 38,Contact 38,+1-555-01838,supplier38@example.com,Germany,30,3.32,Trend 2
SUP7098,Supplier 39,Contact 39,+1-555-01939,supplier39@example.com,USA,5,4.51,Trend 3
SUP5961,Supplier 40,Contact 40,+1-555-01040,supplier40@example.com,India,25,3.15,Trend 1
SUP8689,Supplier 41,Contact 41,+1-555-01141,supplier41@example.com,Germany,21,4.47,Trend 1
SUP2842,Supplier 42,Contact 42,+1-555-01242,supplier42@example.com,USA,28,3.08,Trend 5
SUP7304,Supplier 43,Contact 43,+1-555-01343,supplier43@example.com,China,13,4.51,Trend 3
SUP8191,Supplier 44,Contact 44,+1-555-01444,supplier44@example.com,Germany,24,4.26,Trend 1
SUP2275,Supplier 45,Contact 45,+1-555-01545,supplier45@example.com,China,11,4.13,Trend 3
SUP6508,Supplier 46,Contact 46,+1-555-01646,supplier46@example.com,USA,26,3.16,Trend 3
SUP7287,Supplier 47,Contact 47,+1-555-01747,supplier47@example.com,Germany,18,4.86,Trend 2
SUP7737,Supplier 48,Contact 48,+1-555-01848,supplier48@example.com,India,13,4.47,Trend 4
SUP8497,Supplier 49,Contact 49,+1-555-01949,supplier49@example.com,China,17,4.65,Trend 4
SUP5061,Supplier 50,Contact 50,+1-555-01050,supplier50@example.com,China,15,3.47,Trend 5
